EURUSD,Open,High,Low,Close,Range HL
06.11.2013,1.3474,1.3548,1.3468,1.3513,80
07.11.2013,1.3513,1.3529,1.3296,1.3419,233
08.11.2013,1.3419,1.3438,1.3318,1.3367,120
11.11.2013,1.3358,1.3416,1.3345,1.3407,71
12.11.2013,1.3407,1.3456,1.3359,1.3436,97
13.11.2013,1.3436,1.3495,1.339,1.3487,105
14.11.2013,1.3487,1.3498,1.3419,1.3461,79
15.11.2013,1.3461,1.3505,1.3432,1.3496,73
18.11.2013,1.3502,1.3542,1.3475,1.3506,67
19.11.2013,1.3506,1.3547,1.3488,1.3538,59
20.11.2013,1.3538,1.3579,1.3415,1.3439,164
21.11.2013,1.3439,1.3487,1.34,1.3482,87
22.11.2013,1.3482,1.3558,1.3463,1.3558,95
25.11.2013,1.355,1.356,1.349,1.3517,70
26.11.2013,1.3517,1.3575,1.3516,1.3572,59
27.11.2013,1.3572,1.3613,1.3558,1.3579,55
28.11.2013,1.3579,1.3618,1.3564,1.3606,54
29.11.2013,1.3606,1.3622,1.358,1.3591,42
02.12.2013,1.3594,1.3616,1.3526,1.3542,90
03.12.2013,1.3542,1.3614,1.3524,1.3588,90
04.12.2013,1.3588,1.3605,1.3528,1.3593,77
05.12.2013,1.3593,1.3677,1.3543,1.3667,134
06.12.2013,1.3667,1.3706,1.3621,1.3706,85
09.12.2013,1.3706,1.3746,1.3694,1.3739,52
10.12.2013,1.3739,1.3795,1.3734,1.3761,61
11.12.2013,1.3761,1.3811,1.3741,1.3786,70
12.12.2013,1.3786,1.3803,1.3738,1.3753,65
13.12.2013,1.3753,1.3769,1.3709,1.3742,60
16.12.2013,1.3741,1.3799,1.3727,1.3761,72
17.12.2013,1.3761,1.3782,1.3723,1.3768,59
18.12.2013,1.3768,1.3811,1.3675,1.3685,136
19.12.2013,1.3685,1.3694,1.365,1.3661,44
20.12.2013,1.3661,1.3709,1.3625,1.3673,84
23.12.2013,1.3675,1.3717,1.3668,1.3696,49
24.12.2013,1.3696,1.3714,1.3655,1.368,59
25.12.2013,1.368,1.3724,1.365,1.3681,74
26.12.2013,1.3681,1.3702,1.3664,1.3691,38
27.12.2013,1.3691,1.3893,1.3688,1.3749,205
30.12.2013,1.3752,1.3819,1.3728,1.3801,91
31.12.2013,1.3801,1.3813,1.3742,1.3743,71
01.01.2014,1.3743,1.379,1.3738,1.3763,52
02.01.2014,1.3763,1.3775,1.363,1.3672,145
03.01.2014,1.3672,1.3673,1.3583,1.3589,90
06.01.2014,1.359,1.3653,1.3572,1.3629,81
07.01.2014,1.3629,1.3656,1.3597,1.3616,59
08.01.2014,1.3616,1.3635,1.3554,1.3576,81
09.01.2014,1.3576,1.3633,1.3549,1.3608,84
10.01.2014,1.3608,1.3687,1.3572,1.367,115
13.01.2014,1.3674,1.3685,1.3638,1.3671,47
14.01.2014,1.3671,1.3699,1.3649,1.3679,50
15.01.2014,1.3679,1.3681,1.3582,1.3605,99
16.01.2014,1.3605,1.365,1.3583,1.362,67
17.01.2014,1.362,1.3621,1.3517,1.3541,104
20.01.2014,1.3545,1.3568,1.3508,1.3552,60
21.01.2014,1.3552,1.3569,1.3517,1.3561,52
22.01.2014,1.3561,1.3583,1.3535,1.3547,48
23.01.2014,1.3547,1.3698,1.353,1.3696,168
24.01.2014,1.3696,1.3739,1.3663,1.3678,76
27.01.2014,1.3675,1.3717,1.3653,1.3673,64
28.01.2014,1.3673,1.3688,1.3629,1.3671,59
29.01.2014,1.3671,1.3685,1.3603,1.3663,82
30.01.2014,1.3663,1.3666,1.3544,1.3555,122
31.01.2014,1.3555,1.3573,1.3479,1.3486,94
03.02.2014,1.349,1.3536,1.3477,1.3525,59
04.02.2014,1.3525,1.3539,1.3494,1.3519,45
05.02.2014,1.3519,1.3555,1.3499,1.3533,56
06.02.2014,1.3533,1.3619,1.3484,1.359,135
07.02.2014,1.359,1.3642,1.3552,1.3635,90
10.02.2014,1.3634,1.3651,1.3609,1.3646,42
11.02.2014,1.3646,1.3683,1.363,1.3638,53
12.02.2014,1.3638,1.3653,1.3562,1.3593,91
13.02.2014,1.3593,1.3692,1.3585,1.3681,107
14.02.2014,1.3681,1.3715,1.3674,1.3693,41
17.02.2014,1.3688,1.3724,1.3688,1.3707,36
18.02.2014,1.3707,1.377,1.3695,1.3759,75
19.02.2014,1.3759,1.3773,1.3725,1.3733,48
20.02.2014,1.3733,1.3763,1.3686,1.3719,77
21.02.2014,1.3719,1.3759,1.3702,1.3746,57
24.02.2014,1.3733,1.3771,1.3709,1.3735,62
25.02.2014,1.3735,1.3767,1.3716,1.3745,51
26.02.2014,1.3745,1.3757,1.3662,1.3687,95
27.02.2014,1.3687,1.3727,1.3643,1.371,84
28.02.2014,1.371,1.3825,1.3694,1.3802,131
03.03.2014,1.3779,1.3793,1.3726,1.3735,67
04.03.2014,1.3735,1.3782,1.3721,1.3743,61
05.03.2014,1.3743,1.3748,1.3708,1.3733,40
06.03.2014,1.3733,1.3873,1.3721,1.3861,152
07.03.2014,1.3861,1.3915,1.3852,1.3875,63
10.03.2014,1.3877,1.3898,1.3862,1.3877,36
11.03.2014,1.3877,1.3879,1.3834,1.386,45
12.03.2014,1.386,1.3914,1.3844,1.3903,70
13.03.2014,1.3903,1.3967,1.3846,1.3868,121
14.03.2014,1.3868,1.3937,1.3848,1.3914,89
17.03.2014,1.3903,1.3948,1.3879,1.3922,69
18.03.2014,1.3922,1.3943,1.388,1.3934,63
19.03.2014,1.3934,1.3934,1.381,1.3833,124
20.03.2014,1.3833,1.3845,1.3749,1.3779,96
21.03.2014,1.3779,1.3811,1.3766,1.3794,45
24.03.2014,1.3792,1.3876,1.376,1.3839,116
